Worst Superpower,Best Superpower
Worst Dance Move,Best Dance Move
Worst Smell,Best Smell
Hard to Give Up For Life,Easy to Give Up For Life
Worst Thing to be able to Conjure from Thin Air,Best Thing to be able to Conjure from Thin Air
Weakest Celebrity in a Fight,Strongest Celebrity in a Fight
Least Annoying Scenario,Most Annoying Scenario
Least Cute,Most Cute
Least Funny Meme,Most Funny Meme
Worst Gift,Best Gift
Worst Tourist Destination,Best Tourist Destination
Worst TV Show/Movie Ending,Best TV Show/Movie Ending
Animals You Don't Want to Be,Animals You Do Want to Be
Worst Snack,Best Snack
Worst Advice for a Child,Best Advice for a Child
Least Fun Activity,Most Fun Activity
Least Cringe Scenario,Most Cringe Scenario
Worst Thing to Put in a Smoothie,Best Thing to put in a Smoothie
Least Fashionable Clothing,Most Fashionable Clothing
Worst Musical Act,Best Musical Act
Least Talented Celebrity,Most Talented Celebrity
Worst Fantasy Animal to Have as as Pet,Best Fantasy Animal to Have as a Pet
Least Funny TV Show,Most Funny TV Show
Least Sad TV Show/Movie,Most Sad TV Show/Movie
Worst Sweets/Desserts,Best Sweets/Desserts
Worst Superhero Name,Best Superhero Name
Worst Fast Food Item,Best Fast Food Item
Scariest Thing,Least Scary Thing
Animals/Creatures You Couldn't Beat in a Fight,Animals/Creatures You Could Beat in a Fight
Weakest Fictional Character,Strongest Fictional Character
Least Impactful Life Event,Most Impactful Life Event
Worst Times in History to Live,Best Times in History to Live
Least Interesting Hobby,Most Interesting Hobby
Easiest to Learn,Hardest to Learn
Worst Wish,Best Wish
Poorest Person,Richest Person
Worst Daily Task,Best Daily Task
Worst Way to Travel,Best Way to Travel
Worst Noise,Best Noise
Worst Song,Best Song
Worst Drink,Best Drink
Worst Fictional World to Live In,Best Fictional World to Live In
Person You'd Least Want to Swap Bodies With,Person You'd Most Want to Swap Bodies With
Worst Thing to Take to a Deserted Island,Best Thing to Take to a Deserted Island
Worst Food to Pack for Lunch,Best Food to Pack for Lunch
Least Likely to be Sung at Karaoke Night,Most Likely to be Sung at Karaoke Night
Least Common Animal,Most Common Animal
Least Impressive World Record,Most Impressive World Record
Easiest to Cook,Hardest to Cook
Worst Lawyer to Represent You in Court,Best Lawyer to Represent You in Court
Easiest Job,Hardest Job
Worst Excuse for Being Late to Work,Best Excuse for Being Late to Work
Worst Group Activity,Best Group Activity
Least Likely to Indicate That You're Old,Most Likely to Indicate That You're Old
Least Likely to Indicate That You're Young,Most Likely to Indicate That You're Young
Items Least Likely to Own,Items Most Likely to Own
Least Useful in a Fight,Most Useful in a Fight
Least Likeable Celebrity,Most Likeable Celebrity
Worst Ice Cream Flavor,Best Ice Cream Flavor
Worst Person From History to Have Dinner With,Best Person From History to Have Dinner With
Worst Breakfast,Best Breakfast
Worst Thing to do With a Time Machine,Best Thing to do With a Time Machine
Worst Motto to Live By,Best Motto to Live By
Done Least Often in Life,Done Most Often in Life
Least Want to Happen in the Far Future,Most Want to Happen in the Far Future
Worst Thing to do in an Elevator,Best Thing to do in an Elevator
Least Relatable Fictional Character,Most Relatable Fictional Character
Worst Reason to Write a Letter,Best Reason to Write a Letter
Worst Thing about Being a Vampire,Best Thing about Being a Vampire
Worst Reason to Become a Supervillain,Best Reason to Become a Supervillain
Worst Thing to Happen on Stage,Best Thing to Happen on Stage
Least Intimidating Villain,Most Intimidating Villain
Worst Work Uniform,Best Work Uniform
Worst Thing to Catch While Fishing,Best Thing to Catch While Fishing
Least Stable Investment,Most Stable Investment
Worst Things to Carry in your Purse,Best Things to Carry in your Purse
Least Interesting Things You Would Do if You Were a Bird,Most Interesting Things You Would Do if You Were a Bird
How to get Caught for Murder,Best Way to Get Away With Murder
Worst Reason to Start a Fight,Best Reason to Start a Fight
Worst Tattoo,Best Tattoo
Worst Dating Profile Line,Best Dating Profile Line
Worst Place to Hide a Dead Body,Best Place to Hide a Dead Body
Easiest Crime to get Away With,Hardest Crime to Get Away With
Worst Toilet Paper Substitute,Best Toilet Paper Substitute
Strangest Fetish,Most Normal Fetish
Worst Place to Fart,Best Place to Fart
Worst Personality Traits,Best Personality Traits
Bad,Good
Mildly Addictive,Highly Addictive
Hot,Cold
Normal,Weird
Colorless,Colorful
Low Calorie,High Calorie
Feels Bad,Feels Good
Inessential,Essential
Cheap,Expensive
Underrated Weapon,Overrated Weapon
Rare,Common
Unsexy Emoji,Sexy Emoji
Easy Subject,Hard Subject
Unknown,Famous
Difficult to Use,Easy to Use
Dirty,Clean
Requires Luck,Requires Skill
Flavorless,Flavorful
Boring Topic,Interesting Topic
Bad Actor,Good Actor
Basic,Hipster
Dangerous Job,Safe Job
Fantasy,Sci-fi
Casual,Formal
Underpaid,Overpaid
Dry,Wet
Underrated Skill,Overrated Skill
Forbidden,Encouraged
Sad Song,Happy Song
Fragile,Durable
Good,Evil
Worst Day of the Year,Best Day of the Year
Bad Habit,Good Habit
Cat Person,Dog Person
Guilty Pleasure,Openly Love
Untalented,Talented
Dark,Light
Underrated Actor,Overrated Actor
Hard to Find,Easy to Find
Hard to Remember,Easy to Remember
Lowbrow,Highbrow
Historically Important,Historically Irrelevant
Hairless,Hairy
Inflexible,Flexible
Normal Pet,Exotic Pet
Introvert,Extrovert
Book was Better,Movie was Better
Bad Movie,Good Movie
Ugly,Beautiful
Happens Slowly,Happens Suddenly
Loved,Hated
Bad Pizza Topping,Good Pizza Topping
Dystopia,Utopia
Mature Person,Immature Person
Underrated Thing to Own,Overrated Thing to Own
Mean Person,Nice Person
Mental Activity,Physical Activity
Uncontroversial Topic,Controversial Topic
Need,Want
Dry Food,Wet Food
Normal Thing to Own,Weird Thing to Own
Straight,Curvy
Bad Person,Good Person
Ethical to Eat,Unethical to Eat
Optional,Mandatory
Hard to Pronounce,Easy to Pronounce
Low Quality,High Quality
Plain,Fancy
Bad Reputation,Good Reputation
Poorly Made,Well Made
Quiet Place,Loud Place
Dangerous,Safe
Culturally Significant,Culturally Insignificant
Replaceable,Irreplaceable
Worth Athlete,Best Athlete
Role Model,Bad Influence
Useless Major,Useful Major
Peaceful,Warlike
Underrated Movie,Overrated Movie
Rough,Smooth
Bad for You,Good for You
Sad Movie,Happy Movie
Scary Animal,Nice Animal
Waste of Time,Good Use of Time
Mainstream,Niche
Nobody Does It,Everybody Does It
Smells Bad,Smells Good
Snack,Meal
Least Evil Company,Most Evil Company
Soft,Hard
Square,Round
Better Hot,Better Cold
Bad Superpower,Good Superpower
Ineffective,Effective
Unbelievable,Believeable
Trashy,Classy
Temporary,Permanent
Doesn't Look Like a Person,Looks like a Person
Tastes Bad,Tastes Good
Uncool,Cool
Worst Living Person,Greatest Living Person
Underrated,Overrated
Messy Food,Clean Food
Unethical,Ethical
Unforgivable,Forgivable
Failure,Masterpiece
Harmless,Harmful
Unhygienic,Hygienic
Movies that Godzilla Would Ruin,Movies that Godzilla Would Improve
Unimportant,Important
Easy to Spell,Hard to Spell
Underrated Musician,Overrated Musician
Unpopular Activity,Popular Activity
Unreliable,Reliable
Unstable,Stable
Bad TV Show,Good TV Show
Traditionally Masculine,Traditionally Feminine
Useless Body Part,Useful Body Part
Fad,Classic
Weak,Strong
Bad Cereal,Good Cereal
Useless Invention,Useful Invention
Liberal,Conservative
Unpopular,Popular
Friend,Enemy
Boring,Exciting
Villain,Hero
Useless in an Emergency,Useful in an Emergency
For Kids,For Adults
Easy to Do,Hard to Do
Worthless,Priceless
Normal Greeting,Weird Greeting
Dog Name,Cat Name
Non-Partisan,Partisan
Mild,Spicy
